image_id,question,answer
notumor_049,What type of brain tumor is shown?,no tumor
notumor_224,What type of brain tumor is shown?,no tumor
meningioma_166,What type of brain tumor is shown?,meningioma
meningioma_083,What type of brain tumor is shown?,meningioma
meningioma_045,What type of brain tumor is shown?,meningioma
notumor_181,Is there a tumor visible in this MRI scan?,no
pituitary_040,Is this a pituitary tumor?,yes
glioma_075,What type of brain tumor is shown?,glioma
glioma_024,Is this a glioma tumor?,yes
pituitary_102,Is there a tumor visible in this MRI scan?,yes
notumor_138,Is there a tumor visible in this MRI scan?,no
meningioma_144,Where is the tumor located?,left frontoparietal convexity
notumor_187,Is this a glioma tumor?,no
pituitary_222,What type of brain tumor is shown?,pituitary tumor
meningioma_199,Is this a meningioma tumor?,yes
glioma_006,Where is the tumor located?,right frontal lobe
notumor_088,What type of brain tumor is shown?,no tumor
notumor_156,Where is the tumor located?,no tumor present
meningioma_183,Where is the tumor located?,right parasagittal region
meningioma_022,Is there a tumor visible in this MRI scan?,yes
notumor_248,Where is the tumor located?,no tumor present
pituitary_167,Is this a pituitary tumor?,yes
pituitary_095,What type of brain tumor is shown?,pituitary tumor
meningioma_069,Is there a tumor visible in this MRI scan?,yes
glioma_077,Is this a glioma tumor?,yes
pituitary_226,What type of brain tumor is shown?,pituitary tumor
pituitary_191,Is this a pituitary tumor?,yes
glioma_150,What type of brain tumor is shown?,glioma
notumor_220,Where is the tumor located?,no tumor present
glioma_218,Where is the tumor located?,sellar and suprasellar region
pituitary_137,Is this a pituitary tumor?,yes
pituitary_031,Is this a pituitary tumor?,yes
meningioma_091,Is there a tumor visible in this MRI scan?,yes
meningioma_235,Is there a tumor visible in this MRI scan?,yes
pituitary_190,What type of brain tumor is shown?,pituitary tumor
notumor_162,Is there a tumor visible in this MRI scan?,no
meningioma_135,Where is the tumor located?,left frontal parasagittal
pituitary_053,What type of brain tumor is shown?,pituitary tumor
meningioma_014,Is there a tumor visible in this MRI scan?,yes
meningioma_142,What type of brain tumor is shown?,meningioma
notumor_062,What type of brain tumor is shown?,no tumor
meningioma_232,What type of brain tumor is shown?,meningioma
pituitary_006,Where is the tumor located?,sellar region
glioma_103,Is there a tumor visible in this MRI scan?,yes
glioma_025,Where is the tumor located?,right frontoparietal region
meningioma_053,Where is the tumor located?,right cerebellar hemisphere
meningioma_109,Is there a tumor visible in this MRI scan?,yes
glioma_079,Where is the tumor located?,right frontal lobe
meningioma_044,Is this a meningioma tumor?,yes
meningioma_059,Where is the tumor located?,right frontal parasagittal region
notumor_040,Where is the tumor located?,no tumor present
pituitary_184,Is there a tumor visible in this MRI scan?,yes
notumor_244,Is there a tumor visible in this MRI scan?,no
notumor_161,Is there a tumor visible in this MRI scan?,no
glioma_188,Where is the tumor located?,right frontal lobe
notumor_029,Where is the tumor located?,no tumor present
glioma_040,Is there a tumor visible in this MRI scan?,yes
pituitary_141,Is this a pituitary tumor?,yes
glioma_031,Is there a tumor visible in this MRI scan?,yes
meningioma_114,What type of brain tumor is shown?,meningioma
glioma_128,Where is the tumor located?,left parietal temporal region
meningioma_130,Is this a meningioma tumor?,yes
notumor_127,Is there a tumor visible in this MRI scan?,no
pituitary_005,Is there a tumor visible in this MRI scan?,yes
notumor_111,Is there a tumor visible in this MRI scan?,no
pituitary_212,What type of brain tumor is shown?,pituitary tumor
meningioma_151,What type of brain tumor is shown?,meningioma
notumor_195,What type of brain tumor is shown?,no tumor
notumor_201,Where is the tumor located?,no tumor present
glioma_170,Is there a tumor visible in this MRI scan?,yes
glioma_061,Is there a tumor visible in this MRI scan?,yes
meningioma_006,Where is the tumor located?,right frontoparietal convexity
pituitary_055,Is there a tumor visible in this MRI scan?,yes
meningioma_128,Where is the tumor located?,right frontal parasagittal
pituitary_204,Is this a pituitary tumor?,yes
notumor_057,Is this a pituitary tumor?,no
notumor_200,Where is the tumor located?,no tumor present
notumor_191,Where is the tumor located?,no tumor present
pituitary_221,What type of brain tumor is shown?,pituitary tumor
glioma_122,What type of brain tumor is shown?,glioma
notumor_091,Is this a glioma tumor?,no
meningioma_219,Is this a meningioma tumor?,yes
pituitary_116,Is this a pituitary tumor?,yes
pituitary_110,Is this a pituitary tumor?,yes
glioma_089,What type of brain tumor is shown?,glioma
meningioma_005,Is this a meningioma tumor?,yes
notumor_166,Where is the tumor located?,no tumor present
meningioma_186,Is this a meningioma tumor?,yes
pituitary_083,What type of brain tumor is shown?,pituitary tumor
pituitary_101,Where is the tumor located?,sellar region
meningioma_056,Is there a tumor visible in this MRI scan?,yes
glioma_013,Where is the tumor located?,right frontoparietal region
pituitary_181,What type of brain tumor is shown?,pituitary tumor
meningioma_181,Is there a tumor visible in this MRI scan?,yes
glioma_019,Is this a glioma tumor?,yes
meningioma_173,Is there a tumor visible in this MRI scan?,yes
pituitary_147,Is this a pituitary tumor?,yes
glioma_110,What type of brain tumor is shown?,glioma
meningioma_119,What type of brain tumor is shown?,meningioma
pituitary_191,Is there a tumor visible in this MRI scan?,yes
glioma_201,What type of brain tumor is shown?,glioma
glioma_117,Is this a glioma tumor?,yes
notumor_022,Is there a tumor visible in this MRI scan?,no
meningioma_017,Is there a tumor visible in this MRI scan?,yes
notumor_228,What type of brain tumor is shown?,no tumor
glioma_040,Is this a glioma tumor?,yes
pituitary_001,Where is the tumor located?,sellar region
meningioma_164,Is this a meningioma tumor?,yes
glioma_014,Is there a tumor visible in this MRI scan?,yes
meningioma_087,Is there a tumor visible in this MRI scan?,yes
glioma_056,Is there a tumor visible in this MRI scan?,yes
glioma_142,Is there a tumor visible in this MRI scan?,yes
glioma_007,What type of brain tumor is shown?,glioma
meningioma_146,Where is the tumor located?,right frontoparietal convexity
pituitary_004,What type of brain tumor is shown?,pituitary tumor
glioma_054,What type of brain tumor is shown?,glioma
pituitary_015,Is this a pituitary tumor?,yes
glioma_235,Is this a glioma tumor?,yes
glioma_138,Where is the tumor located?,posterior fossa brainstem region
notumor_007,What type of brain tumor is shown?,no tumor
pituitary_147,What type of brain tumor is shown?,pituitary tumor
glioma_082,Is this a glioma tumor?,yes
notumor_068,What type of brain tumor is shown?,no tumor
notumor_244,Where is the tumor located?,no tumor present
meningioma_168,What type of brain tumor is shown?,meningioma
glioma_208,Is this a glioma tumor?,yes
notumor_030,Is there a tumor visible in this MRI scan?,no
glioma_189,Is there a tumor visible in this MRI scan?,yes
notumor_176,What type of brain tumor is shown?,no tumor
notumor_060,Is this a pituitary tumor?,no
pituitary_120,Is there a tumor visible in this MRI scan?,yes
glioma_012,Is there a tumor visible in this MRI scan?,yes
notumor_247,Where is the tumor located?,no tumor present
meningioma_139,Is this a meningioma tumor?,yes
glioma_126,Is this a glioma tumor?,yes
pituitary_100,What type of brain tumor is shown?,pituitary tumor
glioma_245,Is there a tumor visible in this MRI scan?,yes
pituitary_132,Where is the tumor located?,sellar region midline
meningioma_049,Is there a tumor visible in this MRI scan?,yes
glioma_203,What type of brain tumor is shown?,glioma
glioma_250,Where is the tumor located?,central posterior fossa
glioma_143,Is there a tumor visible in this MRI scan?,yes
pituitary_199,Is there a tumor visible in this MRI scan?,yes
notumor_203,Is there a tumor visible in this MRI scan?,no
pituitary_008,Where is the tumor located?,sellar region
glioma_092,What type of brain tumor is shown?,glioma
glioma_115,Is this a glioma tumor?,yes
glioma_065,Is there a tumor visible in this MRI scan?,yes
pituitary_047,What type of brain tumor is shown?,pituitary tumor
pituitary_068,What type of brain tumor is shown?,pituitary tumor
meningioma_120,Is there a tumor visible in this MRI scan?,yes
glioma_145,Is there a tumor visible in this MRI scan?,yes
pituitary_085,Where is the tumor located?,sellar region
pituitary_036,Is there a tumor visible in this MRI scan?,yes
pituitary_071,What type of brain tumor is shown?,pituitary tumor
notumor_185,Is there a tumor visible in this MRI scan?,no
meningioma_192,Is there a tumor visible in this MRI scan?,yes
pituitary_077,Is there a tumor visible in this MRI scan?,yes
pituitary_224,Is this a pituitary tumor?,yes
glioma_073,Where is the tumor located?,posterior fossa bilateral
glioma_183,Is this a glioma tumor?,yes
meningioma_154,Is this a meningioma tumor?,yes
glioma_034,What type of brain tumor is shown?,glioma
meningioma_128,What type of brain tumor is shown?,meningioma
notumor_056,Is this a meningioma tumor?,no
glioma_171,Is there a tumor visible in this MRI scan?,yes
notumor_119,Is this a meningioma tumor?,no
glioma_066,Where is the tumor located?,right temporal lobe
pituitary_108,Is there a tumor visible in this MRI scan?,yes
notumor_088,Is this a glioma tumor?,no
pituitary_061,Is this a pituitary tumor?,yes
glioma_192,Is there a tumor visible in this MRI scan?,yes
glioma_015,Is there a tumor visible in this MRI scan?,yes
pituitary_197,Is there a tumor visible in this MRI scan?,yes
glioma_171,What type of brain tumor is shown?,glioma
meningioma_074,Is this a meningioma tumor?,yes
pituitary_047,Is this a pituitary tumor?,yes
meningioma_078,Is this a meningioma tumor?,yes
notumor_101,Is there a tumor visible in this MRI scan?,no
glioma_137,Is there a tumor visible in this MRI scan?,yes
meningioma_216,Is there a tumor visible in this MRI scan?,yes
pituitary_178,Is there a tumor visible in this MRI scan?,yes
notumor_233,Where is the tumor located?,no tumor present
meningioma_183,Is there a tumor visible in this MRI scan?,yes
pituitary_087,Is this a pituitary tumor?,yes
glioma_210,What type of brain tumor is shown?,glioma
glioma_043,What type of brain tumor is shown?,glioma
pituitary_007,Is there a tumor visible in this MRI scan?,yes
notumor_212,What type of brain tumor is shown?,no tumor
notumor_147,Is there a tumor visible in this MRI scan?,no
meningioma_138,What type of brain tumor is shown?,meningioma
meningioma_148,Is there a tumor visible in this MRI scan?,yes
pituitary_191,Where is the tumor located?,central sellar region
glioma_048,Is there a tumor visible in this MRI scan?,yes
glioma_004,Is there a tumor visible in this MRI scan?,yes
notumor_210,What type of brain tumor is shown?,no tumor
glioma_081,What type of brain tumor is shown?,glioma
glioma_247,Is this a glioma tumor?,yes
notumor_158,Is this a meningioma tumor?,no
glioma_109,Is there a tumor visible in this MRI scan?,yes
meningioma_023,Where is the tumor located?,left frontoparietal convexity
pituitary_224,What type of brain tumor is shown?,pituitary tumor
pituitary_210,Is there a tumor visible in this MRI scan?,yes
pituitary_223,Where is the tumor located?,sellar region
pituitary_060,What type of brain tumor is shown?,pituitary tumor
notumor_031,Where is the tumor located?,no tumor present
notumor_172,Is there a tumor visible in this MRI scan?,no
meningioma_202,Is this a meningioma tumor?,yes
meningioma_079,Where is the tumor located?,right parietal convexity
pituitary_240,Is this a pituitary tumor?,yes
meningioma_025,Is there a tumor visible in this MRI scan?,yes
meningioma_237,Is this a meningioma tumor?,yes
meningioma_009,Is there a tumor visible in this MRI scan?,yes
meningioma_005,What type of brain tumor is shown?,meningioma
glioma_060,What type of brain tumor is shown?,glioma
glioma_044,What type of brain tumor is shown?,glioma
pituitary_061,Is there a tumor visible in this MRI scan?,yes
pituitary_142,Where is the tumor located?,sellar region suprasellar extension
glioma_205,What type of brain tumor is shown?,glioma
glioma_248,What type of brain tumor is shown?,glioma
meningioma_230,Is there a tumor visible in this MRI scan?,yes
meningioma_029,Is this a meningioma tumor?,yes
meningioma_095,What type of brain tumor is shown?,meningioma
meningioma_107,What type of brain tumor is shown?,meningioma
glioma_103,What type of brain tumor is shown?,glioma
meningioma_035,What type of brain tumor is shown?,meningioma
glioma_205,Is this a glioma tumor?,yes
pituitary_241,What type of brain tumor is shown?,pituitary tumor
meningioma_184,Is there a tumor visible in this MRI scan?,yes
pituitary_088,Is there a tumor visible in this MRI scan?,yes
meningioma_113,What type of brain tumor is shown?,meningioma
glioma_057,Where is the tumor located?,right temporal parietal region
pituitary_176,Is there a tumor visible in this MRI scan?,yes
meningioma_146,Is there a tumor visible in this MRI scan?,yes
meningioma_041,Is this a meningioma tumor?,yes
glioma_088,Where is the tumor located?,bifrontal midline region
meningioma_099,Is this a meningioma tumor?,yes
meningioma_066,Where is the tumor located?,anterior cranial fossa region
meningioma_060,Is this a meningioma tumor?,yes
meningioma_051,Is there a tumor visible in this MRI scan?,yes
pituitary_045,What type of brain tumor is shown?,pituitary tumor
pituitary_117,What type of brain tumor is shown?,pituitary tumor
pituitary_003,What type of brain tumor is shown?,pituitary tumor
meningioma_095,Is this a meningioma tumor?,yes
glioma_018,Is this a glioma tumor?,yes
notumor_150,Is this a pituitary tumor?,no
glioma_012,Is this a glioma tumor?,yes
meningioma_018,Is there a tumor visible in this MRI scan?,yes
notumor_124,Is this a glioma tumor?,no
glioma_046,Where is the tumor located?,right frontal lobe
pituitary_063,What type of brain tumor is shown?,pituitary tumor
meningioma_104,Is this a meningioma tumor?,yes
meningioma_147,What type of brain tumor is shown?,meningioma
meningioma_068,What type of brain tumor is shown?,meningioma
meningioma_104,What type of brain tumor is shown?,meningioma
glioma_035,Where is the tumor located?,right temporal lobe
notumor_089,Is this a meningioma tumor?,no
notumor_053,Where is the tumor located?,no tumor present
glioma_078,Is this a glioma tumor?,yes
glioma_067,What type of brain tumor is shown?,glioma
notumor_038,What type of brain tumor is shown?,no tumor
pituitary_043,Is there a tumor visible in this MRI scan?,yes
notumor_052,Where is the tumor located?,no tumor present
glioma_016,Where is the tumor located?,right cerebellar hemisphere
pituitary_143,Where is the tumor located?,sellar region anterior skull base
meningioma_248,Where is the tumor located?,left temporal convexity
meningioma_145,What type of brain tumor is shown?,meningioma
pituitary_171,What type of brain tumor is shown?,pituitary tumor
glioma_037,Is there a tumor visible in this MRI scan?,yes
notumor_115,Is there a tumor visible in this MRI scan?,no
notumor_101,Is this a meningioma tumor?,no
notumor_249,Is there a tumor visible in this MRI scan?,no
meningioma_102,Is this a meningioma tumor?,yes
notumor_167,What type of brain tumor is shown?,no tumor
pituitary_145,Where is the tumor located?,central suprasellar region
glioma_195,Is there a tumor visible in this MRI scan?,yes
pituitary_043,Where is the tumor located?,sellar region
notumor_007,Is there a tumor visible in this MRI scan?,no
meningioma_242,Is there a tumor visible in this MRI scan?,yes
glioma_243,Is this a glioma tumor?,yes
pituitary_071,Is this a pituitary tumor?,yes
glioma_063,Where is the tumor located?,right parietal lobe
notumor_154,What type of brain tumor is shown?,no tumor
glioma_217,Is there a tumor visible in this MRI scan?,yes
glioma_203,Is this a glioma tumor?,yes
meningioma_150,What type of brain tumor is shown?,meningioma
pituitary_149,Is there a tumor visible in this MRI scan?,yes
notumor_124,Is there a tumor visible in this MRI scan?,no
meningioma_075,What type of brain tumor is shown?,meningioma
notumor_218,What type of brain tumor is shown?,no tumor
glioma_070,Where is the tumor located?,central parietal region
meningioma_116,Is this a meningioma tumor?,yes
meningioma_106,What type of brain tumor is shown?,meningioma
notumor_071,Where is the tumor located?,no tumor present
meningioma_144,Is there a tumor visible in this MRI scan?,yes
glioma_090,What type of brain tumor is shown?,glioma
notumor_232,Where is the tumor located?,no tumor present
glioma_075,Where is the tumor located?,left temporal lobe
meningioma_019,Where is the tumor located?,posterior fossa region
meningioma_008,Is this a meningioma tumor?,yes
glioma_134,What type of brain tumor is shown?,glioma
notumor_080,Is this a meningioma tumor?,no
notumor_064,Is there a tumor visible in this MRI scan?,no
meningioma_193,What type of brain tumor is shown?,meningioma
pituitary_230,What type of brain tumor is shown?,pituitary tumor
glioma_104,Where is the tumor located?,periventricular thalamic region
glioma_210,Where is the tumor located?,central posterior fossa
pituitary_157,Where is the tumor located?,sellar region midline
notumor_202,Is there a tumor visible in this MRI scan?,no
meningioma_011,What type of brain tumor is shown?,meningioma
meningioma_125,Is this a meningioma tumor?,yes
meningioma_100,What type of brain tumor is shown?,meningioma
glioma_078,Is there a tumor visible in this MRI scan?,yes
meningioma_134,Is there a tumor visible in this MRI scan?,yes
pituitary_122,Where is the tumor located?,sellar and suprasellar region
notumor_072,Is there a tumor visible in this MRI scan?,no
pituitary_155,What type of brain tumor is shown?,pituitary tumor
meningioma_019,Is this a meningioma tumor?,yes
notumor_075,Where is the tumor located?,no tumor present
notumor_014,Is there a tumor visible in this MRI scan?,no
notumor_130,Is this a glioma tumor?,no
glioma_191,Is this a glioma tumor?,yes
pituitary_193,Where is the tumor located?,central sellar region
meningioma_028,What type of brain tumor is shown?,meningioma
meningioma_220,Is there a tumor visible in this MRI scan?,yes
pituitary_014,Is this a pituitary tumor?,yes
glioma_015,What type of brain tumor is shown?,glioma
glioma_020,Is there a tumor visible in this MRI scan?,yes
glioma_093,Is there a tumor visible in this MRI scan?,yes
pituitary_108,Is this a pituitary tumor?,yes
notumor_051,Is there a tumor visible in this MRI scan?,no
glioma_184,Is this a glioma tumor?,yes
notumor_208,Is this a pituitary tumor?,no
pituitary_080,Where is the tumor located?,sellar region
pituitary_097,Is there a tumor visible in this MRI scan?,yes
pituitary_183,What type of brain tumor is shown?,pituitary tumor
meningioma_210,Where is the tumor located?,right frontal convexity
pituitary_167,Is there a tumor visible in this MRI scan?,yes
glioma_032,Is there a tumor visible in this MRI scan?,yes
notumor_119,Is there a tumor visible in this MRI scan?,no
notumor_183,Where is the tumor located?,no tumor present
pituitary_065,Is there a tumor visible in this MRI scan?,yes
pituitary_079,Is this a pituitary tumor?,yes
glioma_108,Is this a glioma tumor?,yes
meningioma_244,Is this a meningioma tumor?,yes
notumor_239,Is this a meningioma tumor?,no
glioma_205,Is there a tumor visible in this MRI scan?,yes
pituitary_180,Is there a tumor visible in this MRI scan?,yes
notumor_014,Where is the tumor located?,no tumor present
meningioma_173,Where is the tumor located?,right posterior fossa
glioma_097,Where is the tumor located?,right temporal posterior fossa
glioma_008,What type of brain tumor is shown?,glioma
meningioma_044,Where is the tumor located?,left cavernous sinus region
glioma_051,Where is the tumor located?,posterior fossa bilateral
meningioma_007,Is this a meningioma tumor?,yes
notumor_215,Is this a meningioma tumor?,no
notumor_190,Is this a glioma tumor?,no
glioma_224,Is this a glioma tumor?,yes
pituitary_170,What type of brain tumor is shown?,pituitary tumor
pituitary_167,What type of brain tumor is shown?,pituitary tumor
glioma_120,What type of brain tumor is shown?,glioma
meningioma_172,Is there a tumor visible in this MRI scan?,yes
meningioma_088,What type of brain tumor is shown?,meningioma
glioma_111,Where is the tumor located?,right frontal lobe
pituitary_193,What type of brain tumor is shown?,pituitary tumor
meningioma_085,What type of brain tumor is shown?,meningioma
glioma_049,Is there a tumor visible in this MRI scan?,yes
pituitary_243,Is this a pituitary tumor?,yes
meningioma_033,Is there a tumor visible in this MRI scan?,yes
glioma_002,What type of brain tumor is shown?,glioma
glioma_110,Where is the tumor located?,left parietal lobe
glioma_073,Is this a glioma tumor?,yes
meningioma_027,What type of brain tumor is shown?,meningioma
notumor_174,Is this a pituitary tumor?,no
